iter	RMSE
0	1.585791254
1	1.516378874
2	1.452624691
3	1.392940339
4	1.335888083
5	1.279918888
6	1.231607633
7	1.181785324
8	1.137071734
9	1.094391309
10	1.05212068
11	1.016401915
12	0.9817314378
13	0.948119822
14	0.9175029795
15	0.8889512763
16	0.8591309599
17	0.8328344386
18	0.8066762663
19	0.7829518726
20	0.7596555654
21	0.7399192783
22	0.719716813
23	0.7012942362
24	0.6827440383
25	0.6661424306
26	0.6505137179
27	0.6347325604
28	0.6211205425
29	0.6081978617
30	0.5953098808
31	0.5843443835
32	0.5730187203
33	0.5637428193
34	0.5543966305
35	0.5452486477
36	0.5363302609
37	0.5275988105
38	0.5197522717
39	0.5122983421
40	0.5054731813
41	0.4994287624
42	0.4934939683
43	0.4876337263
44	0.4823250904
45	0.4779110393
46	0.4730872339
47	0.469412327
48	0.4648333267
49	0.4606073715
50	0.4569939295
51	0.4536269158
52	0.4499293662
53	0.4468868447
54	0.4435796279
55	0.4401381224
56	0.4371704544
57	0.4343210445
58	0.4315357182
59	0.4292027958
60	0.4270487476
61	0.4252129774
62	0.4229286217
63	0.420833809
64	0.4187155008
65	0.4166983371
66	0.4150268758
67	0.4132727806
68	0.4118425691
69	0.4103405399
70	0.4089371182
71	0.4077636789
72	0.4062151512
73	0.4050406283
74	0.4036283297
75	0.4024747759
76	0.4013973613
77	0.3999443821
78	0.398274737
79	0.39727271
80	0.3962757503
81	0.3953013164
82	0.394106505
83	0.3928350838
84	0.3917592576
85	0.3896533293
86	0.3886991733
87	0.3878340756
88	0.3872459169
89	0.3865176037
90	0.385772995
91	0.3850480468
92	0.3840882329
93	0.3828049635
94	0.3821976376
95	0.3814302945
96	0.3808050427
97	0.3802305433
98	0.379739058
99	0.3789512767
100	0.3782249627
101	0.3776833794
102	0.3753018622
103	0.3745701964
104	0.3739999041
105	0.3729895833
106	0.3718297453
107	0.3699704301
108	0.3695405596
109	0.3687174572
110	0.3672954989
111	0.3667002564
112	0.3660761372
113	0.3656212952
114	0.3650055514
115	0.3639583827
116	0.3631223214
117	0.3626252959
118	0.3622655326
119	0.3617100519
120	0.3604738649
121	0.3592006856
122	0.3589613106
123	0.358458299
124	0.3578948034
125	0.3570952277
126	0.3554913215
127	0.3551393575
128	0.3536751746
129	0.3529162563
130	0.351948167
131	0.3511879956
132	0.3507924395
133	0.3495353799
134	0.34859492
135	0.3473878754
136	0.3466290041
137	0.3459965461
138	0.345665793
139	0.3448979888
140	0.3443157345
141	0.3439528482
142	0.3424871514
143	0.3419824868
144	0.3410741134
145	0.3399382131
146	0.339126158
147	0.3386806254
148	0.3382997325
149	0.3376512998
150	0.336731328
151	0.3358276035
152	0.3349808389
153	0.3343725454
154	0.333703412
155	0.3332003516
156	0.3328397894
157	0.3315444071
158	0.3306084391
159	0.3302348885
160	0.3294531541
161	0.3282717652
162	0.3273693181
163	0.3266790701
164	0.3261871629
165	0.3256017812
166	0.3253453621
167	0.3249744427
168	0.324455632
169	0.323839451
170	0.3235013115
171	0.3228193842
172	0.3221809988
173	0.3217374057
174	0.3214308188
175	0.3211770717
176	0.3205746997
177	0.3200180533
178	0.3193736211
179	0.318676408
180	0.3183267555
181	0.316923569
182	0.3165029237
183	0.3148860692
184	0.3144500521
185	0.3139344695
186	0.3131099015
187	0.3125185931
188	0.3115286869
189	0.3107377191
190	0.3104055883
191	0.3100558785
192	0.3095398542
193	0.3085180315
194	0.3080119267
195	0.3070454121
196	0.3056928022
197	0.3050223006
198	0.3040582238
199	0.3035505138
200	0.3024404842
201	0.3022046358
202	0.3016879036
203	0.3012091305
204	0.3010026793
205	0.2998762671
206	0.2994137274
207	0.299186287
208	0.2987298639
209	0.2981659621
210	0.29774966
211	0.2972794819
212	0.2965994031
213	0.2961508711
214	0.2958005536
215	0.2953833637
216	0.2943240184
217	0.2939115232
218	0.2937138412
219	0.2933272199
220	0.2927206994
221	0.2920701671
222	0.2917035723
223	0.2914126216
224	0.2911735138
225	0.2908070304
226	0.2902829321
227	0.2899294869
228	0.2896678473
229	0.2891520835
230	0.2887535963
231	0.2883219604
232	0.2879960752
233	0.2876194488
234	0.2874407062
235	0.287064951
236	0.2867046078
237	0.2864556631
238	0.2862966453
239	0.2859178255
240	0.2852508384
241	0.2849487985
242	0.2843290475
243	0.283944315
244	0.2831293758
245	0.282937772
246	0.2827856306
247	0.282542042
248	0.2820526501
249	0.2812728812
250	0.2810206489
251	0.2807405229
252	0.2803920822
253	0.2801640142
254	0.2795172693
255	0.2792590375
256	0.2789056473
257	0.2787203314
258	0.2782893138
259	0.2779478351
260	0.2775532976
261	0.2773172492
262	0.2769706533
263	0.2766056258
264	0.2762474338
265	0.2758191453
266	0.2755894296
267	0.2752960337
268	0.2750561192
269	0.274708589
270	0.2744567562
271	0.274238544
272	0.2737078703
273	0.2735600876
274	0.2733467981
275	0.2730971618
276	0.2729504991
277	0.2726151587
278	0.2724368337
279	0.2722205648
280	0.2719749517
281	0.2716545261
282	0.2711671509
283	0.2706810668
284	0.2703284564
285	0.2699860762
286	0.2696703204
287	0.2692338477
288	0.2689074885
289	0.2685445918
290	0.268351621
291	0.2681288731
292	0.2678338189
293	0.2676739495
294	0.267481749
295	0.2668650713
296	0.2665119817
297	0.2661418384
298	0.2659630265
299	0.2655816975
300	0.2654140996
301	0.265225763
302	0.2648255766
303	0.2646303954
304	0.2644831644
305	0.2641827509
306	0.2637075747
307	0.2634631717
308	0.2629626181
309	0.2627361081
310	0.2621978732
311	0.2616809595
312	0.2615082151
313	0.2613357619
314	0.2611734629
315	0.2608845772
316	0.2607507649
317	0.2604954279
318	0.2601644343
319	0.2599984377
320	0.259800176
321	0.2596540484
322	0.2595028235
323	0.2593595295
324	0.2590908592
325	0.2589137554
326	0.2587377856
327	0.2584169513
328	0.258175599
329	0.2579911038
330	0.2577915267
331	0.2575694496
332	0.2574263332
333	0.2571527498
334	0.2569324397
335	0.2568128963
336	0.25661392
337	0.2562118636
338	0.2559941745
339	0.2559027641
340	0.2557297553
341	0.2555004437
342	0.2551992302
343	0.2550513681
344	0.2548508118
345	0.2547484091
346	0.25449308
347	0.2543346873
348	0.2541092978
349	0.2537848001
