iter	Passed	Remaining
0	5	5551
1	9	4870
2	14	4752
3	19	4742
4	23	4734
5	27	4603
6	32	4609
7	36	4563
8	41	4527
9	45	4543
10	50	4533
11	54	4520
12	59	4502
13	63	4477
14	68	4468
15	72	4459
16	77	4482
17	81	4451
18	86	4446
19	91	4462
20	95	4454
21	100	4478
22	105	4496
23	110	4495
24	114	4464
25	119	4471
26	123	4453
27	127	4435
28	131	4413
29	136	4404
30	140	4401
31	145	4414
32	150	4406
33	154	4393
34	159	4401
35	163	4379
36	167	4356
37	172	4357
38	176	4350
39	181	4357
40	186	4357
41	190	4353
42	195	4341
43	199	4335
44	203	4321
45	208	4318
46	212	4318
47	217	4309
48	221	4299
49	226	4296
50	230	4284
51	235	4287
52	239	4287
53	244	4278
54	248	4276
55	253	4274
56	258	4269
57	262	4263
58	267	4260
59	271	4253
60	276	4251
61	281	4251
62	285	4241
63	290	4244
64	295	4243
65	299	4231
66	303	4221
67	307	4213
68	311	4207
69	315	4198
70	321	4201
71	325	4194
72	330	4194
73	334	4180
74	338	4177
75	343	4173
76	348	4173
77	352	4166
78	357	4162
79	360	4146
80	364	4134
81	368	4130
82	372	4115
83	377	4112
84	380	4096
85	384	4082
86	387	4069
87	392	4065
88	396	4061
89	401	4054
90	405	4049
91	410	4048
92	414	4041
93	419	4039
94	423	4036
95	427	4027
96	432	4021
97	436	4018
98	440	4013
99	445	4007
100	449	4003
101	454	3999
102	459	3997
103	463	3991
104	467	3988
105	472	3988
106	477	3986
107	482	3988
108	488	3993
109	493	3995
110	498	3995
111	503	3995
112	508	3989
113	514	3995
114	518	3992
115	521	3976
116	526	3970
117	531	3969
118	535	3965
119	540	3964
120	545	3961
121	549	3952
122	553	3946
123	557	3940
124	561	3931
125	564	3915
126	569	3916
127	574	3915
128	578	3907
129	583	3907
130	589	3911
131	595	3913
132	599	3909
133	605	3910
134	610	3910
135	613	3900
136	618	3897
137	624	3898
138	628	3893
139	633	3890
140	638	3890
141	643	3886
142	647	3880
143	651	3875
144	656	3872
145	661	3867
146	664	3858
147	670	3857
148	674	3852
149	679	3848
150	683	3844
151	688	3838
152	692	3832
153	696	3827
154	701	3823
155	706	3822
156	711	3819
157	714	3810
158	718	3802
159	722	3792
160	726	3784
161	730	3777
162	734	3771
163	738	3762
164	741	3750
165	745	3743
166	749	3736
167	753	3731
168	757	3724
169	760	3715
170	765	3709
171	768	3698
172	773	3697
173	777	3691
174	782	3691
175	788	3689
176	791	3681
177	796	3676
178	799	3665
179	804	3663
180	809	3661
181	812	3652
182	816	3647
183	822	3645
184	827	3644
185	831	3640
186	836	3638
187	841	3634
188	845	3627
189	850	3626
190	854	3621
191	860	3619
192	864	3615
193	869	3611
194	873	3607
195	879	3607
196	884	3603
197	888	3600
198	892	3593
199	896	3587
200	900	3581
201	905	3576
202	910	3572
203	914	3567
204	918	3563
205	923	3558
206	927	3551
207	931	3548
208	936	3543
209	941	3540
210	945	3535
211	949	3530
212	953	3523
213	958	3519
214	962	3515
215	966	3507
216	970	3500
217	974	3493
218	977	3485
219	981	3478
220	985	3474
221	989	3469
222	994	3464
223	998	3458
224	1002	3453
